Rating,ID,Title,Title Slug
3111.1274320356,3049,"Earliest Second to Mark Indices II",earliest-second-to-mark-indices-ii
3039.3003256659,3003,"Maximize the Number of Partitions After Operations",maximize-the-number-of-partitions-after-operations
3018.4940165727,1719,"Number Of Ways To Reconstruct A Tree",number-of-ways-to-reconstruct-a-tree
2978.7961959355,2809,"Minimum Time to Make Array Sum At Most x",minimum-time-to-make-array-sum-at-most-x
2943.2173551759,2945,"Find Maximum Non-decreasing Array Length",find-maximum-non-decreasing-array-length
2917.8273567322,3022,"Minimize OR of Remaining Elements Using Operations",minimize-or-of-remaining-elements-using-operations
2873.9745576413,2699,"Modify Graph Edge Weights",modify-graph-edge-weights
2872.0290327119,1982,"Find Array Given Subset Sums",find-array-given-subset-sums
2863.1378294349,770,"Basic Calculator IV",basic-calculator-iv
2859.2593177291,3145,"Find Products of Elements of Big Array",find-products-of-elements-of-big-array
2857.6543956169,2851,"String Transformation",string-transformation
2849.4841858619,1728,"Cat and Mouse II",cat-and-mouse-ii
2824.7020346271,3130,"Find All Possible Stable Binary Arrays II",find-all-possible-stable-binary-arrays-ii
2824.4551372454,2612,"Minimum Reverse Operations",minimum-reverse-operations
2817.2672126020,1977,"Number of Ways to Separate Numbers",number-of-ways-to-separate-numbers
2816.0706257586,2916,"Subarrays Distinct Element Sum of Squares II",subarrays-distinct-element-sum-of-squares-ii
2803.7652028979,2060,"Check if an Original String Exists Given Two Encoded Strings",check-if-an-original-string-exists-given-two-encoded-strings
2779.7855167601,2983,"Palindrome Rearrangement Queries",palindrome-rearrangement-queries
2768.8154223451,2836,"Maximize Value of Function in a Ball Passing Game",maximize-value-of-function-in-a-ball-passing-game
2765.2533837781,803,"Bricks Falling When Hit",bricks-falling-when-hit
2758.9704056427,2902,"Count of Sub-Multisets With Bounded Sum",count-of-sub-multisets-with-bounded-sum
2735.0909781144,3117,"Minimum Sum of Values by Dividing Array",minimum-sum-of-values-by-dividing-array
2711.8717381409,2603,"Collect Coins in a Tree",collect-coins-in-a-tree
2709.4067070911,3017,"Count the Number of Houses at a Certain Distance II",count-the-number-of-houses-at-a-certain-distance-ii
2697.6486586982,3165,"Maximum Sum of Subsequence With Non-adjacent Elements",maximum-sum-of-subsequence-with-non-adjacent-elements
2695.8096670460,2977,"Minimum Cost to Convert String II",minimum-cost-to-convert-string-ii
2690.5859406179,1960,"Maximum Product of the Length of Two Palindromic Substrings",maximum-product-of-the-length-of-two-palindromic-substrings
2688.2456356434,3181,"Maximum Total Reward Using Operations II",maximum-total-reward-using-operations-ii
2681.7054310332,2573,"Find the String with LCP",find-the-string-with-lcp
2677.1682592316,2791,"Count Paths That Can Form a Palindrome in a Tree",count-paths-that-can-form-a-palindrome-in-a-tree
2672.7613091907,3086,"Minimum Moves to Pick K Ones",minimum-moves-to-pick-k-ones
2666.6681508450,1397,"Find All Good Strings",find-all-good-strings
2666.1303987257,3139,"Minimum Cost to Equalize Array",minimum-cost-to-equalize-array
2661.0670044656,1923,"Longest Common Subpath",longest-common-subpath
2655.2178711909,1659,"Maximize Grid Happiness",maximize-grid-happiness
2650.8996457642,2097,"Valid Arrangement of Pairs",valid-arrangement-of-pairs
2648.1748409542,2071,"Maximum Number of Tasks You Can Assign",maximum-number-of-tasks-you-can-assign
2647.8258771458,2386,"Find the K-Sum of an Array",find-the-k-sum-of-an-array
2644.8498152558,2954,"Count the Number of Infection Sequences",count-the-number-of-infection-sequences
2641.6067035188,3149,"Find the Minimum Cost Array Permutation",find-the-minimum-cost-array-permutation
2640.3824813624,1787,"Make the XOR of All Segments Equal to Zero",make-the-xor-of-all-segments-equal-to-zero
2633.0144045478,2499,"Minimum Total Cost to Make Arrays Unequal",minimum-total-cost-to-make-arrays-unequal
2628.7957821141,2213,"Longest Substring of One Repeating Character",longest-substring-of-one-repeating-character
2621.1208072273,2281,"Sum of Total Strength of Wizards",sum-of-total-strength-of-wizards
2620.4181842249,1830,"Minimum Number of Operations to Make String Sorted",minimum-number-of-operations-to-make-string-sorted
2619.7016189999,2790,"Maximum Number of Groups With Increasing Length",maximum-number-of-groups-with-increasing-length
2615.1468269481,2338,"Count the Number of Ideal Arrays",count-the-number-of-ideal-arrays
2610.9906730644,2056,"Number of Valid Move Combinations On Chessboard",number-of-valid-move-combinations-on-chessboard
2610.0826855063,1687,"Delivering Boxes from Storage to Ports",delivering-boxes-from-storage-to-ports
2607.9418744903,2911,"Minimum Changes to Make K Semi-palindromes",minimum-changes-to-make-k-semi-palindromes
2594.1356734520,964,"Least Operators to Express Number",least-operators-to-express-number
2588.8752130913,2532,"Time to Cross a Bridge",time-to-cross-a-bridge
2587.8725248485,1883,"Minimum Skips to Arrive at Meeting On Time",minimum-skips-to-arrive-at-meeting-on-time
2583.9006314254,2019,"The Score of Students Solving Math Expression",the-score-of-students-solving-math-expression
2583.4069119510,936,"Stamping The Sequence",stamping-the-sequence
2582.0814855506,2813,"Maximum Elegance of a K-Length Subsequence",maximum-elegance-of-a-k-length-subsequence
2581.9961985753,2617,"Minimum Number of Visited Cells in a Grid",minimum-number-of-visited-cells-in-a-grid
2575.9570281316,1531,"String Compression II",string-compression-ii
2571.5520281210,1489,"Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree",find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree
